In the year 0, Diles was founded, 400 souls strong.
In the year 0, Toloumou was founded, 400 souls strong.
In the year 0, Kunaetho was founded, 400 souls strong.
In the year 0, Naethaehun was founded, 400 souls strong.
In the year 0, Hikiavur was founded, 400 souls strong.
In the year 0, Lumemia was founded, 400 souls strong.
In the year 0, Thiathiariath was founded, 400 souls strong.
In the year 0, Nuhem was founded, 400 souls strong.
In the year 0, Nenatul was founded, 400 souls strong.
In the year 0, Vurun was founded, 400 souls strong.
In the year 0, Siatol was founded, 400 souls strong.
In the year 0, Mothian was founded, 400 souls strong.
In 30, famine gripped Mothian: 46 of every hundred measures of need went unmet.
In 2270, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 2310, 5 souls quit Naethaehun in a single season - 7 of every hundred who lived there.
In 2330, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 2350, famine gripped Nuhem: 24 of every hundred measures of need went unmet.
In 2370, the famine at Nuhem lifted after 20 years; 977 were dead of it.
In 2390, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 2420, 5 souls quit Naethaehun in a single season - 7 of every hundred who lived there.
In 2450, 8 souls quit Naethaehun in a single season - 11 of every hundred who lived there.
In 2490, 4 souls quit Naethaehun in a single season - 6 of every hundred who lived there.
In 2545, 3 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 2705, 3 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 2865, 3 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 2915, 3 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 2925, famine gripped Lumemia: 17 of every hundred measures of need went unmet.
In 2940, the famine at Lumemia lifted after 15 years; 933 were dead of it.
In 3115, 3 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 3145, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 3150, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 3175, famine gripped Mothian: 20 of every hundred measures of need went unmet.
In 3190, the famine at Mothian lifted after 15 years; 121 were dead of it.
In 3395, 4 souls quit Naethaehun in a single season - 6 of every hundred who lived there.
In 3570, famine gripped Lumemia: 21 of every hundred measures of need went unmet.
In 3580, the famine at Lumemia lifted after 10 years; 565 were dead of it.
In 3625, famine gripped Nuhem: 23 of every hundred measures of need went unmet.
In 3630, famine gripped Mothian: 16 of every hundred measures of need went unmet.
In 3640, the famine at Nuhem lifted after 15 years; 696 were dead of it.
In 3640, the famine at Mothian lifted after 10 years; 76 were dead of it.
In 3985, 4 souls quit Naethaehun in a single season - 6 of every hundred who lived there.
In 4085, famine gripped Naethaehun: 40 of every hundred measures of need went unmet.
In 4090, 19 souls quit Naethaehun in a single season - 27 of every hundred who lived there.
In 4090, famine gripped Lumemia: 17 of every hundred measures of need went unmet.
In 4095, 20 souls quit Naethaehun in a single season - 53 of every hundred who lived there.
In 4100, 13 souls quit Naethaehun in a single season - 52 of every hundred who lived there.
In 4100, the famine at Lumemia lifted after 10 years; 521 were dead of it.
In 4105, 21 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4110, 21 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4115, 17 souls quit Naethaehun in a single season - 57 of every hundred who lived there.
In 4120, 24 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4125, 18 souls quit Naethaehun in a single season - 60 of every hundred who lived there.
In 4130, 27 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4135, 20 souls quit Naethaehun in a single season - 59 of every hundred who lived there.
In 4140, 29 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4145, 18 souls quit Naethaehun in a single season - 56 of every hundred who lived there.
In 4150, 29 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4155, 23 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4160, 28 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4165, 24 souls quit Naethaehun in a single season - 67 of every hundred who lived there.
In 4170, 30 souls quit Naethaehun in a single season - 60 of every hundred who lived there.
In 4175, 28 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4180, 29 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4185, 33 souls quit Naethaehun in a single season - 69 of every hundred who lived there.
In 4190, 31 souls quit Naethaehun in a single season - 63 of every hundred who lived there.
In 4195, 30 souls quit Naethaehun in a single season - 61 of every hundred who lived there.
In 4200, 36 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4205, 34 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4210, 33 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4215, 42 souls quit Naethaehun in a single season - 67 of every hundred who lived there.
In 4220, 35 souls quit Naethaehun in a single season - 60 of every hundred who lived there.
In 4225, 43 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4230, 36 souls quit Naethaehun in a single season - 63 of every hundred who lived there.
In 4235, 47 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4240, 50 souls quit Naethaehun in a single season - 68 of every hundred who lived there.
In 4245, 47 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4250, 54 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4255, 57 souls quit Naethaehun in a single season - 69 of every hundred who lived there.
In 4260, 59 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4265, 63 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4270, 71 souls quit Naethaehun in a single season - 67 of every hundred who lived there.
In 4275, 79 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4280, 85 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4285, 97 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4290, 112 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4290, 139 souls quit Thiathiariath in a single season - 4 of every hundred who lived there.
In 4290, famine gripped Nuhem: 22 of every hundred measures of need went unmet.
In 4295, 135 souls quit Naethaehun in a single season - 67 of every hundred who lived there.
In 4300, 120 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4300, the famine at Nuhem lifted after 10 years; 431 were dead of it.
In 4305, 114 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4305, famine gripped Hikiavur: 90 of every hundred measures of need went unmet.
In 4305, famine gripped Thiathiariath: 55 of every hundred measures of need went unmet.
In 4305, famine gripped Siatol: 22 of every hundred measures of need went unmet.
In 4310, 112 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4310, 1892 souls quit Hikiavur in a single season - 22 of every hundred who lived there.
In 4310, 870 souls quit Thiathiariath in a single season - 29 of every hundred who lived there.
In 4310, 441 souls quit Siatol in a single season - 11 of every hundred who lived there.
In 4315, 481 souls quit Naethaehun in a single season - 69 of every hundred who lived there.
In 4315, 724 souls quit Hikiavur in a single season - 25 of every hundred who lived there.
In 4315, 748 souls quit Thiathiariath in a single season - 52 of every hundred who lived there.
In 4315, 1325 souls quit Siatol in a single season - 44 of every hundred who lived there.
In 4320, 402 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4320, 238 souls quit Hikiavur in a single season - 25 of every hundred who lived there.
In 4320, 356 souls quit Thiathiariath in a single season - 54 of every hundred who lived there.
In 4320, 364 souls quit Siatol in a single season - 42 of every hundred who lived there.
In 4325, 153 souls quit Naethaehun in a single season - 58 of every hundred who lived there.
In 4325, 77 souls quit Hikiavur in a single season - 22 of every hundred who lived there.
In 4325, 138 souls quit Thiathiariath in a single season - 51 of every hundred who lived there.
In 4325, 130 souls quit Siatol in a single season - 41 of every hundred who lived there.
In 4330, 60 souls quit Naethaehun in a single season - 51 of every hundred who lived there.
In 4330, 29 souls quit Hikiavur in a single season - 21 of every hundred who lived there.
In 4330, 47 souls quit Thiathiariath in a single season - 44 of every hundred who lived there.
In 4330, 39 souls quit Siatol in a single season - 33 of every hundred who lived there.
In 4335, 44 souls quit Naethaehun in a single season - 52 of every hundred who lived there.
In 4335, 5 souls quit Hikiavur in a single season - 11 of every hundred who lived there.
In 4335, 20 souls quit Thiathiariath in a single season - 42 of every hundred who lived there.
In 4335, 15 souls quit Siatol in a single season - 30 of every hundred who lived there.
In 4340, 42 souls quit Naethaehun in a single season - 57 of every hundred who lived there.
In 4340, 17 souls quit Hikiavur in a single season - 24 of every hundred who lived there.
In 4340, 11 souls quit Thiathiariath in a single season - 41 of every hundred who lived there.
In 4340, 13 souls quit Siatol in a single season - 43 of every hundred who lived there.
In 4345, 57 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4345, 25 souls quit Hikiavur in a single season - 29 of every hundred who lived there.
In 4345, 31 souls quit Thiathiariath in a single season - 57 of every hundred who lived there.
In 4345, 25 souls quit Siatol in a single season - 48 of every hundred who lived there.
In 4350, 70 souls quit Naethaehun in a single season - 67 of every hundred who lived there.
In 4350, 26 souls quit Hikiavur in a single season - 28 of every hundred who lived there.
In 4350, 38 souls quit Thiathiariath in a single season - 59 of every hundred who lived there.
In 4350, 35 souls quit Siatol in a single season - 49 of every hundred who lived there.
In 4355, 76 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4355, 29 souls quit Hikiavur in a single season - 27 of every hundred who lived there.
In 4355, 42 souls quit Thiathiariath in a single season - 58 of every hundred who lived there.
In 4355, 37 souls quit Siatol in a single season - 49 of every hundred who lived there.
In 4360, 83 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4360, 33 souls quit Hikiavur in a single season - 27 of every hundred who lived there.
In 4360, 46 souls quit Thiathiariath in a single season - 61 of every hundred who lived there.
In 4360, 40 souls quit Siatol in a single season - 50 of every hundred who lived there.
In 4365, famine gripped Kunaetho: 47 of every hundred measures of need went unmet.
In 4365, 96 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4365, 34 souls quit Hikiavur in a single season - 28 of every hundred who lived there.
In 4365, 47 souls quit Thiathiariath in a single season - 63 of every hundred who lived there.
In 4365, 39 souls quit Siatol in a single season - 46 of every hundred who lived there.
In 4370, famine gripped Diles: 21 of every hundred measures of need went unmet.
In 4370, 1748 souls quit Kunaetho in a single season - 19 of every hundred who lived there.
In 4370, 99 souls quit Naethaehun in a single season - 67 of every hundred who lived there.
In 4370, 34 souls quit Hikiavur in a single season - 27 of every hundred who lived there.
In 4370, 40 souls quit Thiathiariath in a single season - 53 of every hundred who lived there.
In 4370, 44 souls quit Siatol in a single season - 49 of every hundred who lived there.
In 4375, 940 souls quit Diles in a single season - 7 of every hundred who lived there.
In 4375, 1742 souls quit Kunaetho in a single season - 39 of every hundred who lived there.
In 4375, 109 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4375, 37 souls quit Hikiavur in a single season - 27 of every hundred who lived there.
In 4375, 57 souls quit Thiathiariath in a single season - 60 of every hundred who lived there.
In 4375, 56 souls quit Siatol in a single season - 51 of every hundred who lived there.
In 4380, 3097 souls quit Diles in a single season - 32 of every hundred who lived there.
In 4380, 448 souls quit Kunaetho in a single season - 37 of every hundred who lived there.
In 4380, 119 souls quit Naethaehun in a single season - 64 of every hundred who lived there.
In 4380, 39 souls quit Hikiavur in a single season - 26 of every hundred who lived there.
In 4380, 62 souls quit Thiathiariath in a single season - 58 of every hundred who lived there.
In 4380, 61 souls quit Siatol in a single season - 48 of every hundred who lived there.
In 4385, 816 souls quit Diles in a single season - 31 of every hundred who lived there.
In 4385, famine gripped Toloumou: 36 of every hundred measures of need went unmet.
In 4385, 360 souls quit Kunaetho in a single season - 42 of every hundred who lived there.
In 4385, 125 souls quit Naethaehun in a single season - 66 of every hundred who lived there.
In 4385, 43 souls quit Hikiavur in a single season - 28 of every hundred who lived there.
In 4385, 67 souls quit Thiathiariath in a single season - 57 of every hundred who lived there.
In 4385, 63 souls quit Siatol in a single season - 50 of every hundred who lived there.
In 4390, 222 souls quit Diles in a single season - 28 of every hundred who lived there.
In 4390, 1430 souls quit Toloumou in a single season - 12 of every hundred who lived there.
In 4390, 135 souls quit Kunaetho in a single season - 38 of every hundred who lived there.
In 4390, 99 souls quit Naethaehun in a single season - 63 of every hundred who lived there.
In 4390, 37 souls quit Hikiavur in a single season - 28 of every hundred who lived there.
In 4390, 51 souls quit Thiathiariath in a single season - 56 of every hundred who lived there.
In 4390, 41 souls quit Siatol in a single season - 45 of every hundred who lived there.
In 4395, 84 souls quit Diles in a single season - 27 of every hundred who lived there.
In 4395, 1318 souls quit Toloumou in a single season - 20 of every hundred who lived there.
In 4395, 80 souls quit Kunaetho in a single season - 38 of every hundred who lived there.
In 4395, 174 souls quit Naethaehun in a single season - 65 of every hundred who lived there.
In 4395, 56 souls quit Hikiavur in a single season - 27 of every hundred who lived there.
In 4395, 66 souls quit Thiathiariath in a single season - 56 of every hundred who lived there.
In 4395, 49 souls quit Siatol in a single season - 47 of every hundred who lived there.
In 4400, 48 souls quit Diles in a single season - 29 of every hundred who lived there.
In 4400, the famine at Toloumou lifted after 15 years; 9395 were dead of it.
In 4400, 356 souls quit Toloumou in a single season - 13 of every hundred who lived there.
In 4400, 74 souls quit Kunaetho in a single season - 41 of every hundred who lived there.
In 4400, 170 souls quit Naethaehun in a single season - 67 of every hundred who lived there.
In 4400, 61 souls quit Hikiavur in a single season - 28 of every hundred who lived there.
In 4400, 75 souls quit Thiathiariath in a single season - 56 of every hundred who lived there.
In 4400, famine gripped Nenatul: 80 of every hundred measures of need went unmet.
In 4400, 55 souls quit Siatol in a single season - 49 of every hundred who lived there.
In 4405, 41 souls quit Diles in a single season - 33 of every hundred who lived there.
In 4405, 74 souls quit Kunaetho in a single season - 44 of every hundred who lived there.
In 4405, 73 souls quit Naethaehun in a single season - 57 of every hundred who lived there.
In 4405, 30 souls quit Hikiavur in a single season - 24 of every hundred who lived there.
In 4405, 50 souls quit Thiathiariath in a single season - 56 of every hundred who lived there.
In 4405, 4706 souls quit Nenatul in a single season - 24 of every hundred who lived there.
In 4405, 44 souls quit Siatol in a single season - 50 of every hundred who lived there.
In 4410, 336 souls quit Diles in a single season - 40 of every hundred who lived there.
In 4410, 526 souls quit Kunaetho in a single season - 48 of every hundred who lived there.
In 4410, 48 souls quit Naethaehun in a single season - 59 of every hundred who lived there.
In 4410, 20 souls quit Hikiavur in a single season - 25 of every hundred who lived there.
In 4410, 39 souls quit Thiathiariath in a single season - 54 of every hundred who lived there.
In 4410, 1657 souls quit Nenatul in a single season - 25 of every hundred who lived there.
In 4410, 37 souls quit Siatol in a single season - 41 of every hundred who lived there.
In 4415, 221 souls quit Diles in a single season - 38 of every hundred who lived there.
In 4415, 302 souls quit Kunaetho in a single season - 44 of every hundred who lived there.
In 4415, 42 souls quit Naethaehun in a single season - 59 of every hundred who lived there.
In 4415, 13 souls quit Hikiavur in a single season - 24 of every hundred who lived there.
In 4415, 35 souls quit Thiathiariath in a single season - 59 of every hundred who lived there.
In 4415, the famine at Nenatul lifted after 15 years; 16061 were dead of it.
In 4415, 347 souls quit Nenatul in a single season - 14 of every hundred who lived there.
In 4415, 33 souls quit Siatol in a single season - 45 of every hundred who lived there.
In 4420, 87 souls quit Diles in a single season - 33 of every hundred who lived there.
In 4420, 126 souls quit Toloumou in a single season - 5 of every hundred who lived there.
In 4420, 111 souls quit Kunaetho in a single season - 39 of every hundred who lived there.
In 4420, 32 souls quit Naethaehun in a single season - 58 of every hundred who lived there.
In 4420, 12 souls quit Hikiavur in a single season - 24 of every hundred who lived there.
In 4420, 18 souls quit Thiathiariath in a single season - 51 of every hundred who lived there.
In 4420, 19 souls quit Siatol in a single season - 40 of every hundred who lived there.
In 4425, 24 souls quit Diles in a single season - 24 of every hundred who lived there.
In 4425, 163 souls quit Toloumou in a single season - 6 of every hundred who lived there.
In 4425, 30 souls quit Kunaetho in a single season - 31 of every hundred who lived there.
In 4425, 30 souls quit Naethaehun in a single season - 61 of every hundred who lived there.
In 4425, 10 souls quit Hikiavur in a single season - 27 of every hundred who lived there.
In 4425, 13 souls quit Thiathiariath in a single season - 45 of every hundred who lived there.
In 4425, 13 souls quit Siatol in a single season - 39 of every hundred who lived there.
In 4430, 14 souls quit Diles in a single season - 31 of every hundred who lived there.
In 4430, 203 souls quit Toloumou in a single season - 8 of every hundred who lived there.
In 4430, 13 souls quit Kunaetho in a single season - 30 of every hundred who lived there.
In 4430, 33 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4430, 10 souls quit Hikiavur in a single season - 24 of every hundred who lived there.
In 4430, 11 souls quit Thiathiariath in a single season - 50 of every hundred who lived there.
In 4430, famine gripped Vurun: 71 of every hundred measures of need went unmet.
In 4430, 9 souls quit Siatol in a single season - 38 of every hundred who lived there.
In 4435, 7 souls quit Diles in a single season - 20 of every hundred who lived there.
In 4435, 211 souls quit Toloumou in a single season - 9 of every hundred who lived there.
In 4435, 20 souls quit Kunaetho in a single season - 38 of every hundred who lived there.
In 4435, 31 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4435, 14 souls quit Hikiavur in a single season - 27 of every hundred who lived there.
In 4435, 10 souls quit Thiathiariath in a single season - 42 of every hundred who lived there.
In 4435, 132 souls quit Nenatul in a single season - 6 of every hundred who lived there.
In 4435, 15 souls quit Siatol in a single season - 52 of every hundred who lived there.
In 4440, 19 souls quit Diles in a single season - 40 of every hundred who lived there.
In 4440, 186 souls quit Toloumou in a single season - 9 of every hundred who lived there.
In 4440, 27 souls quit Kunaetho in a single season - 43 of every hundred who lived there.
In 4440, 37 souls quit Naethaehun in a single season - 69 of every hundred who lived there.
In 4440, 10 souls quit Hikiavur in a single season - 21 of every hundred who lived there.
In 4440, 19 souls quit Thiathiariath in a single season - 56 of every hundred who lived there.
In 4440, 148 souls quit Nenatul in a single season - 7 of every hundred who lived there.
In 4440, 14 souls quit Siatol in a single season - 45 of every hundred who lived there.
In 4445, 19 souls quit Diles in a single season - 32 of every hundred who lived there.
In 4445, 163 souls quit Toloumou in a single season - 9 of every hundred who lived there.
In 4445, 32 souls quit Kunaetho in a single season - 44 of every hundred who lived there.
In 4445, 33 souls quit Naethaehun in a single season - 70 of every hundred who lived there.
In 4445, 13 souls quit Hikiavur in a single season - 25 of every hundred who lived there.
In 4445, 16 souls quit Thiathiariath in a single season - 55 of every hundred who lived there.
In 4445, 121 souls quit Nenatul in a single season - 6 of every hundred who lived there.
In 4445, the famine at Vurun lifted after 15 years; 6102 were dead of it.
In 4445, 15 souls quit Siatol in a single season - 52 of every hundred who lived there.
In 4450, 19 souls quit Diles in a single season - 38 of every hundred who lived there.
In 4450, 145 souls quit Toloumou in a single season - 8 of every hundred who lived there.
In 4450, 27 souls quit Kunaetho in a single season - 45 of every hundred who lived there.
In 4450, 25 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4450, 12 souls quit Hikiavur in a single season - 32 of every hundred who lived there.
In 4450, 18 souls quit Thiathiariath in a single season - 64 of every hundred who lived there.
In 4450, 105 souls quit Nenatul in a single season - 5 of every hundred who lived there.
In 4450, 13 souls quit Siatol in a single season - 45 of every hundred who lived there.
In 4455, 16 souls quit Diles in a single season - 37 of every hundred who lived there.
In 4455, 123 souls quit Toloumou in a single season - 7 of every hundred who lived there.
In 4455, 21 souls quit Kunaetho in a single season - 40 of every hundred who lived there.
In 4455, 21 souls quit Naethaehun in a single season - 55 of every hundred who lived there.
In 4455, 8 souls quit Hikiavur in a single season - 21 of every hundred who lived there.
In 4455, 13 souls quit Thiathiariath in a single season - 52 of every hundred who lived there.
In 4455, 95 souls quit Nenatul in a single season - 5 of every hundred who lived there.
In 4455, 13 souls quit Siatol in a single season - 42 of every hundred who lived there.
In 4460, 13 souls quit Diles in a single season - 32 of every hundred who lived there.
In 4460, 114 souls quit Toloumou in a single season - 7 of every hundred who lived there.
In 4460, 21 souls quit Kunaetho in a single season - 49 of every hundred who lived there.
In 4460, 20 souls quit Naethaehun in a single season - 59 of every hundred who lived there.
In 4460, 8 souls quit Hikiavur in a single season - 25 of every hundred who lived there.
In 4460, 11 souls quit Thiathiariath in a single season - 61 of every hundred who lived there.
In 4460, 91 souls quit Nenatul in a single season - 5 of every hundred who lived there.
In 4460, 10 souls quit Siatol in a single season - 59 of every hundred who lived there.
In 4465, 13 souls quit Diles in a single season - 33 of every hundred who lived there.
In 4465, 99 souls quit Toloumou in a single season - 7 of every hundred who lived there.
In 4465, 16 souls quit Kunaetho in a single season - 43 of every hundred who lived there.
In 4465, 16 souls quit Naethaehun in a single season - 53 of every hundred who lived there.
In 4465, 7 souls quit Hikiavur in a single season - 29 of every hundred who lived there.
In 4465, 11 souls quit Thiathiariath in a single season - 58 of every hundred who lived there.
In 4465, 81 souls quit Nenatul in a single season - 4 of every hundred who lived there.
In 4465, 5 souls quit Siatol in a single season - 28 of every hundred who lived there.
In 4470, 10 souls quit Diles in a single season - 33 of every hundred who lived there.
In 4470, 78 souls quit Toloumou in a single season - 6 of every hundred who lived there.
In 4470, 18 souls quit Kunaetho in a single season - 46 of every hundred who lived there.
In 4470, 9 souls quit Naethaehun in a single season - 47 of every hundred who lived there.
In 4470, 5 souls quit Hikiavur in a single season - 23 of every hundred who lived there.
In 4470, 14 souls quit Thiathiariath in a single season - 61 of every hundred who lived there.
In 4470, 80 souls quit Nenatul in a single season - 4 of every hundred who lived there.
In 4470, 12 souls quit Siatol in a single season - 55 of every hundred who lived there.
In 4475, 10 souls quit Diles in a single season - 36 of every hundred who lived there.
In 4475, 74 souls quit Toloumou in a single season - 6 of every hundred who lived there.
In 4475, 11 souls quit Kunaetho in a single season - 37 of every hundred who lived there.
In 4475, 12 souls quit Naethaehun in a single season - 63 of every hundred who lived there.
In 4475, 4 souls quit Hikiavur in a single season - 18 of every hundred who lived there.
In 4475, 6 souls quit Thiathiariath in a single season - 43 of every hundred who lived there.
In 4475, 11 souls quit Siatol in a single season - 50 of every hundred who lived there.
In 4480, 11 souls quit Diles in a single season - 39 of every hundred who lived there.
In 4480, 56 souls quit Toloumou in a single season - 5 of every hundred who lived there.
In 4480, 15 souls quit Kunaetho in a single season - 45 of every hundred who lived there.
In 4480, 11 souls quit Naethaehun in a single season - 48 of every hundred who lived there.
In 4480, 8 souls quit Hikiavur in a single season - 42 of every hundred who lived there.
In 4480, 10 souls quit Thiathiariath in a single season - 62 of every hundred who lived there.
In 4480, 6 souls quit Siatol in a single season - 35 of every hundred who lived there.
In 4485, 10 souls quit Diles in a single season - 42 of every hundred who lived there.
In 4485, 54 souls quit Toloumou in a single season - 5 of every hundred who lived there.
In 4485, 11 souls quit Kunaetho in a single season - 41 of every hundred who lived there.
In 4485, 11 souls quit Naethaehun in a single season - 61 of every hundred who lived there.
In 4485, 6 souls quit Hikiavur in a single season - 38 of every hundred who lived there.
In 4485, 7 souls quit Thiathiariath in a single season - 64 of every hundred who lived there.
In 4485, 8 souls quit Siatol in a single season - 44 of every hundred who lived there.
In 4490, 5 souls quit Diles in a single season - 24 of every hundred who lived there.
In 4490, 9 souls quit Kunaetho in a single season - 35 of every hundred who lived there.
In 4490, 10 souls quit Naethaehun in a single season - 62 of every hundred who lived there.
In 4490, 2 souls quit Hikiavur in a single season - 11 of every hundred who lived there.
In 4490, 8 souls quit Thiathiariath in a single season - 57 of every hundred who lived there.
In 4490, 10 souls quit Siatol in a single season - 53 of every hundred who lived there.
In 4495, 6 souls quit Diles in a single season - 35 of every hundred who lived there.
In 4495, 44 souls quit Toloumou in a single season - 4 of every hundred who lived there.
In 4495, 9 souls quit Kunaetho in a single season - 35 of every hundred who lived there.
In 4495, 8 souls quit Naethaehun in a single season - 38 of every hundred who lived there.
In 4495, 3 souls quit Hikiavur in a single season - 15 of every hundred who lived there.
In 4495, 5 souls quit Thiathiariath in a single season - 45 of every hundred who lived there.
In 4495, 3 souls quit Siatol in a single season - 25 of every hundred who lived there.
In 4500, 7 souls quit Diles in a single season - 32 of every hundred who lived there.
In 4500, 10 souls quit Kunaetho in a single season - 56 of every hundred who lived there.
In 4500, 9 souls quit Naethaehun in a single season - 60 of every hundred who lived there.
In 4500, 3 souls quit Hikiavur in a single season - 23 of every hundred who lived there.
In 4500, 11 souls quit Thiathiariath in a single season - 65 of every hundred who lived there.
In 4500, 61 souls quit Nenatul in a single season - 4 of every hundred who lived there.
In 4500, 7 souls quit Siatol in a single season - 64 of every hundred who lived there.
